"x","y","Ind"
3643500,2406500,96
3644500,2406500,53
3647500,2406500,1
3651500,2406500,14
3652500,2406500,47
3653500,2406500,18
3654500,2406500,12
3655500,2406500,19
3656500,2406500,18
3659500,2406500,1
3663500,2406500,17.5
3664500,2406500,3
3666500,2406500,3
3667500,2406500,11
3668500,2406500,12
3669500,2406500,2
3670500,2406500,4
3608500,2407500,18
3609500,2407500,10
3610500,2407500,1
3611500,2407500,22
3612500,2407500,22.5
3613500,2407500,25
3614500,2407500,35
3615500,2407500,1
3616500,2407500,7
3618500,2407500,16
3619500,2407500,3
3620500,2407500,11
3621500,2407500,2
3622500,2407500,20
3623500,2407500,45.5
3624500,2407500,38.5
3625500,2407500,110.5
3626500,2407500,9
3627500,2407500,11
3628500,2407500,15
3629500,2407500,20
3630500,2407500,29
3632500,2407500,79
3633500,2407500,18
3634500,2407500,92.5
3635500,2407500,91
3636500,2407500,92
3637500,2407500,111.5
3638500,2407500,22
3639500,2407500,94
3640500,2407500,158.5
3641500,2407500,129
3642500,2407500,104
3643500,2407500,144.5
3644500,2407500,15
3645500,2407500,13
3649500,2407500,4
3652500,2407500,9
3653500,2407500,2
3655500,2407500,19
3656500,2407500,38
3657500,2407500,11
3658500,2407500,22
3659500,2407500,1
3660500,2407500,1
3662500,2407500,4
3663500,2407500,9.5
3664500,2407500,2
3666500,2407500,4
3667500,2407500,6
3668500,2407500,8
3672500,2407500,9
3609500,2408500,21
3610500,2408500,12
3611500,2408500,6
3612500,2408500,3
3613500,2408500,13
3614500,2408500,12
3615500,2408500,12
3616500,2408500,6
3617500,2408500,8
3618500,2408500,17
3619500,2408500,23
3620500,2408500,5
3621500,2408500,9
3622500,2408500,41
3623500,2408500,21
3624500,2408500,202.5
3625500,2408500,94
3626500,2408500,7
3627500,2408500,32
3629500,2408500,16
3630500,2408500,3
3631500,2408500,6
3632500,2408500,4
3633500,2408500,1
3634500,2408500,19
3635500,2408500,221.5
3636500,2408500,346.5
3637500,2408500,156
3638500,2408500,100
3639500,2408500,324.5
3640500,2408500,487
3641500,2408500,83.5
3644500,2408500,17
3645500,2408500,40
3652500,2408500,1
3653500,2408500,6
3654500,2408500,24
3655500,2408500,8
3657500,2408500,23
3658500,2408500,12.5
3660500,2408500,14
3661500,2408500,5
3662500,2408500,17
3663500,2408500,32
3664500,2408500,64
3665500,2408500,3
3666500,2408500,64
3667500,2408500,14
3668500,2408500,19.5
3669500,2408500,4
3670500,2408500,75
3671500,2408500,48
3672500,2408500,15
3609500,2409500,9
3610500,2409500,6
3611500,2409500,9
3612500,2409500,17
3613500,2409500,7
3614500,2409500,2
3615500,2409500,4
3616500,2409500,41.5
3617500,2409500,10
3618500,2409500,10
3619500,2409500,17
3620500,2409500,25
3621500,2409500,5
3622500,2409500,4
3625500,2409500,16
3626500,2409500,21
3627500,2409500,37.5
3628500,2409500,31
3629500,2409500,20
3630500,2409500,7
3631500,2409500,18
3632500,2409500,10
3633500,2409500,21
3634500,2409500,201.5
3635500,2409500,74
3636500,2409500,96
3637500,2409500,272.5
3638500,2409500,88
3639500,2409500,1940
3640500,2409500,2573
3641500,2409500,69.5
3645500,2409500,108.5
3646500,2409500,92
3647500,2409500,55.5
3648500,2409500,82
3649500,2409500,38
3650500,2409500,16
3651500,2409500,2
3652500,2409500,3
3654500,2409500,12
3656500,2409500,18
3657500,2409500,9
3658500,2409500,36
3659500,2409500,22
3660500,2409500,146.5
3661500,2409500,22
3662500,2409500,22.5
3663500,2409500,47
3664500,2409500,20.5
3665500,2409500,16
3666500,2409500,22
3667500,2409500,17
3668500,2409500,16
3669500,2409500,35
3670500,2409500,4
3671500,2409500,70.5
3672500,2409500,124
3674500,2409500,4
3675500,2409500,4
3677500,2409500,14
3678500,2409500,1
3609500,2410500,6
3610500,2410500,16
3611500,2410500,15
3612500,2410500,15
3613500,2410500,13
3614500,2410500,10
3615500,2410500,9
3616500,2410500,4
3617500,2410500,7
3618500,2410500,5
3619500,2410500,4
3620500,2410500,7
3621500,2410500,2
3622500,2410500,5
3623500,2410500,3
3624500,2410500,7
3626500,2410500,26
